,MRT,latitude,longitude
0,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771
1,ALJUNIED MRT STATION,1.3164326118157,103.882906044385
2,ANG MO KIO MRT STATION,1.36993284962264,103.849558091776
3,BAKAU LRT STATION,1.38799431054768,103.905415300171
4,BANGKIT LRT STATION,1.38002223010088,103.772647370452
5,BARTLEY MRT STATION,1.3424454382925,103.880197087117
6,BAYFRONT MRT STATION,1.28187378879209,103.859079764874
7,BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778
8,BEDOK MRT STATION,1.32397996868158,103.929984495066
9,BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995
10,BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286
11,BENCOOLEN MRT STATION,1.29891843369422,103.850353762717
12,BENDEMEER MRT STATION,1.31367252847691,103.862977620945
13,BISHAN MRT STATION,1.35101889777844,103.850057208608
14,BOON KENG MRT STATION,1.31993957653291,103.862052698446
15,BOON LAY MRT STATION,1.33860405469845,103.706064622772
16,BOTANIC GARDENS MRT STATION,1.32238699517166,103.815385463093
17,BRADDELL MRT STATION,1.34010520696434,103.846755921048
18,BRAS BASAH MRT STATION,1.29686168649656,103.850667371637
19,BUANGKOK MRT STATION,1.38369417199994,103.893049981318
20,BUGIS MRT STATION,1.30026468984101,103.855614760658
21,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309
22,BUKIT BROWN MRT STATION,1.33372888295973,103.830689549849
23,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733
24,BUKIT PANJANG LRT STATION,1.37792694616982,103.763102931112
25,BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
26,BUONA VISTA MRT STATION,1.30627534823257,103.790363200126
27,CALDECOTT MRT STATION,1.33734722320212,103.839544077561
28,CANBERRA MRT STATION,1.44307664075699,103.829702590959
29,CASHEW MRT STATION,1.36984601365741,103.764315051619
30,CHANGI AIRPORT MRT STATION,1.35747897447692,103.98788356959
31,CHENG LIM LRT STATION,1.39627763344324,103.893797181731
32,CHINATOWN MRT STATION,1.2839640518753,103.843141945391
33,CHINESE GARDEN MRT STATION,1.34235282081401,103.732596738363
34,CHOA CHU KANG LRT STATION,1.38475541089131,103.74453769781
35,CHOA CHU KANG MRT STATION,1.38536316540225,103.744370779756
36,CITY HALL MRT STATION,1.29298990700923,103.852542630339
37,CLARKE QUAY MRT STATION,1.28745211415803,103.846119192727
38,CLEMENTI MRT STATION,1.31511625277378,103.765191452888
39,COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336
40,COMPASSVALE LRT STATION,1.39449304450373,103.900492450944
41,CORAL EDGE LRT STATION,1.39390922863313,103.912580845515
42,COVE LRT STATION,1.39928198837342,103.905961941214
43,DAKOTA MRT STATION,1.30843144331463,103.889268208422
44,DAMAI LRT STATION,1.40523483636957,103.908603542566
45,DHOBY GHAUT MRT STATION,1.29891164362677,103.84629250696
46,DOVER MRT STATION,1.31139153717332,103.778656381761
47,DOWNTOWN MRT STATION,1.27944638178916,103.852840829581
48,ESPLANADE MRT STATION,1.29133990707454,103.854609475029
49,EUNOS MRT STATION,1.31976065808207,103.903047958324
50,EXPO MRT STATION,1.33454977824817,103.961548211018
51,FAJAR LRT STATION,1.38457317668026,103.770887223018
52,FARMWAY LRT STATION,1.39717019591821,103.889304824196
53,FARRER PARK MRT STATION,1.31314029963164,103.854754721344
54,FARRER ROAD MRT STATION,1.31743915158967,103.807379214161
55,FERNVALE LRT STATION,1.39188589234766,103.87630862552
56,FORT CANNING MRT STATION,1.29248194822996,103.844331362465
57,GEYLANG BAHRU MRT STATION,1.32130110228321,103.871622627142
58,GUL CIRCLE MRT STATION,1.31947090075208,103.660530461345
59,HARBOURFRONT MRT STATION,1.26531139858465,103.820557316696
60,HAW PAR VILLA MRT STATION,1.28195688684898,103.781988990137
61,HILLVIEW MRT STATION,1.36288845715168,103.767780907707
62,HOLLAND VILLAGE MRT STATION,1.31226422601049,103.796470444998
63,HOUGANG MRT STATION,1.37033472429161,103.892261757937
64,JALAN BESAR MRT STATION,1.3051713878069,103.855295713435
65,JELAPANG LRT STATION,1.38673926997961,103.76453408646
66,JOO KOON MRT STATION,1.32769436492908,103.678085068438
67,JURONG EAST MRT STATION,1.33329506563598,103.742153884191
68,KADALOOR LRT STATION,1.39950910636258,103.916574974234
69,KAKI BUKIT MRT STATION,1.33496735995428,103.908459338046
70,KALLANG MRT STATION,1.31148890998818,103.871386541754
71,KANGKAR LRT STATION,1.38395911688913,103.90222537044
72,KEAT HONG LRT STATION,1.3786032506373,103.749055668925
73,KEMBANGAN MRT STATION,1.32104702761608,103.91292554527
74,KENT RIDGE MRT STATION,1.29353349887123,103.784572738173
75,KHATIB MRT STATION,1.41758906054002,103.833061043125
76,KING ALBERT PARK MRT STATION,1.335893496278,103.783235863233
77,KOVAN MRT STATION,1.35990191952976,103.884494725197
78,KRANJI MRT STATION,1.4250690629411,103.762099449562
79,KUPANG LRT STATION,1.39821283031379,103.881256222255
80,LABRADOR PARK MRT STATION,1.27236838626952,103.803416232089
81,LAKESIDE MRT STATION,1.34410477510373,103.720301861904
82,LAVENDER MRT STATION,1.30750657093807,103.86293845244
83,LAYAR LRT STATION,1.39207983659997,103.880029600546
84,LITTLE INDIA MRT STATION,1.30724381608438,103.849841614124
85,LORONG CHUAN MRT STATION,1.35153128621585,103.864812169514
86,MACPHERSON MRT STATION,1.32583875798262,103.890312834364
87,MARINA BAY MRT STATION,1.27642735476716,103.854597776754
88,MARINA SOUTH PIER MRT STATION,1.27102703612006,103.862447515736
89,MARSILING MRT STATION,1.43262603485889,103.774051197031
90,MARYMOUNT MRT STATION,1.348707263451,103.839423132332
91,MATTAR MRT STATION,1.32687671501334,103.883247509542
92,MERIDIAN LRT STATION,1.3969120498774,103.908950224489
93,MOUNTBATTEN MRT STATION,1.30615406128913,103.883045148696
94,NEWTON MRT STATION,1.31260208570591,103.838149921649
95,NIBONG LRT STATION,1.41185447744238,103.900339452055
96,NICOLL HIGHWAY MRT STATION,1.29956843029404,103.863977721184
97,NOVENA MRT STATION,1.32021100706836,103.843656761867
98,OASIS LRT STATION,1.40228667971123,103.912727352412
99,ONE-NORTH MRT STATION,1.29968953488969,103.787412789536
100,ORCHARD MRT STATION,1.30242224836722,103.823868523249
101,OUTRAM PARK MRT STATION,1.2802415328084,103.840052100136
102,PASIR PANJANG MRT STATION,1.27621352233766,103.791350313288
103,PASIR RIS MRT STATION,1.37300805046319,103.949265083922
104,PAYA LEBAR MRT STATION,1.31810656871073,103.893158734867
105,PENDING LRT STATION,1.37613574334988,103.771261175571
106,PETIR LRT STATION,1.37777204259082,103.766645782497
107,PHOENIX LRT STATION,1.37861545104083,103.757995558346
108,PIONEER MRT STATION,1.33756383090029,103.697631494536
109,POTONG PASIR MRT STATION,1.3318797140041,103.869057877586
110,PROMENADE MRT STATION,1.29307389602149,103.861067235865
111,PUNGGOL LRT STATION,1.40519470149606,103.902411911915
112,PUNGGOL MRT STATION,1.40512956754102,103.902369773585
113,PUNGGOL POINT LRT STATION,1.41684852031206,103.906650789313
114,QUEENSTOWN MRT STATION,1.29419362236417,103.806100814457
115,RAFFLES PLACE MRT STATION,1.28393326234538,103.851463066212
116,RANGGUNG LRT STATION,1.38423355918277,103.897194667804
117,REDHILL MRT STATION,1.28934817825579,103.817043991803
118,RENJONG LRT STATION,1.38670058991904,103.89062131608
119,RIVIERA LRT STATION,1.39451978540251,103.916169381157
120,ROCHOR MRT STATION,1.30385218555028,103.852769429428
121,RUMBIA LRT STATION,1.39146849534132,103.90597359341
122,SAM KEE LRT STATION,1.40961268528804,103.904831550608
123,SAMUDERA LRT STATION,1.41590172160383,103.902156317163
124,SEGAR LRT STATION,1.38778508663361,103.769599685249
125,SEMBAWANG MRT STATION,1.44902668521092,103.820139486468
126,SENGKANG LRT STATION,1.39160936379906,103.895442583336
127,SENGKANG MRT STATION,1.39174613283898,103.895508171163
128,SENJA LRT STATION,1.38272547134453,103.76234425472
129,SERANGOON MRT STATION,1.35063361526525,103.872771660431
130,SIMEI MRT STATION,1.34317949620659,103.953309510101
131,SIXTH AVENUE MRT STATION,1.33085764536226,103.796906838288
132,SOMERSET MRT STATION,1.30018113242454,103.839311084296
133,SOO TECK LRT STATION,1.40532331860455,103.897290522033
134,SOUTH VIEW LRT STATION,1.38029828742399,103.745291799824
135,STADIUM MRT STATION,1.3028124684707,103.875337711089
136,STEVENS MRT STATION,1.32006555750626,103.826024401924
137,SUMANG LRT STATION,1.40845241943079,103.898558450395
138,TAI SENG MRT STATION,1.33533999302463,103.888265446029
139,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625
140,TAMPINES MRT STATION,1.35619148271544,103.9546344625
141,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285
142,TAN KAH KEE MRT STATION,1.32639224146351,103.806548201692
143,TANAH MERAH MRT STATION,1.32731098211445,103.946451703007
144,TANJONG PAGAR MRT STATION,1.27656131737246,103.845725186759
145,TECK LEE LRT STATION,1.4127708937463,103.906577622768
146,TECK WHYE LRT STATION,1.37668467920808,103.753712232337
147,TELOK AYER MRT STATION,1.28206894769394,103.848648781083
148,TELOK BLANGAH MRT STATION,1.27070647772509,103.809761611219
149,TEN MILE JUNCTION LRT STATION,1.25129010193548,103.817802340363
150,THANGGAM LRT STATION,1.39731815581938,103.875635154729
151,TIONG BAHRU MRT STATION,1.28610253588403,103.827445112691
152,TOA PAYOH MRT STATION,1.3326840912586,103.847608851178
153,TONGKANG LRT STATION,1.38934794658941,103.885844150116
154,TUAS CRESCENT MRT STATION,1.32102695598684,103.649078235627
155,TUAS LINK MRT STATION,1.34088242451105,103.636991425128
156,TUAS WEST ROAD MRT STATION,1.32998504653102,103.639616648771
157,UBI MRT STATION,1.3298832504798,103.899082581327
158,UPPER CHANGI MRT STATION,1.34173977444995,103.961472788634
159,WOODLANDS MRT STATION,1.43681962961519,103.786066799253
160,WOODLANDS NORTH MRT STATION,1.44829245259621,103.785692682441
161,WOODLANDS SOUTH MRT STATION,1.42739605281442,103.79326432221
162,WOODLEIGH MRT STATION,1.33982824592182,103.87096088798
163,YEW TEE MRT STATION,1.39729771118639,103.74735767326
164,YIO CHU KANG MRT STATION,1.38149882492597,103.845170704861
165,YISHUN MRT STATION,1.42952522867762,103.834995141847
